timestamp,device,session_id,seq,true_dist_m,angle_deg,distance_m,rx_power,fp_power,fp_rx_ratio,quality,std_noise,fp_ampl1,fp_ampl2,fp_ampl3,cir_power,rxpacc,nlos_suspect,anchor_id,error_m,ampl1_ratio,cir_norm,ampl_spread
2026-04-30T13:07:34.328,T1,20260430_130623,434,1.0,0.0,8.382,-66.3,-99.0,-32.7,53.88,72,3008,3879,5043,21164,1280,True,1,7.382,0.6742882761712621,16.534375,1164
2026-04-30T13:07:36.308,T1,20260430_130623,436,1.0,0.0,5.807,-67.9,-100.1,-32.2,74.17,76,1198,5637,3637,23131,1415,True,1,4.807,0.25835669613974555,16.346996466431097,2000
2026-04-30T13:07:37.298,T1,20260430_130623,437,1.0,0.0,6.018,-68.1,-99.1,-31.0,62.82,84,1352,5277,4093,17993,1258,True,1,5.018,0.28858057630736395,14.302861685214626,1184
2026-04-30T13:07:38.320,T1,20260430_130623,438,1.0,0.0,5.83,-69.5,-98.4,-28.9,29.33,96,4920,2816,6599,22948,1490,True,1,4.83,1.0451407328730749,15.401342281879195,3783
2026-04-30T13:07:40.358,T1,20260430_130623,440,1.0,0.0,5.929,-68.8,-98.3,-29.5,46.45,88,4908,4088,6732,26570,1566,True,1,4.929,0.9072088724584103,16.966794380587483,2644
2026-04-30T13:07:43.329,T1,20260430_130623,443,1.0,0.0,5.347,-68.1,-99.1,-31.0,50.76,80,3502,4061,6047,25273,1490,True,1,4.347,0.6929165017807677,16.961744966442954,1986
2026-04-30T13:07:45.311,T1,20260430_130623,445,1.0,0.0,5.99,-68.8,-99.6,-30.8,44.24,116,3282,5132,5778,29336,1645,True,1,4.99,0.6016498625114574,17.833434650455928,646
2026-04-30T13:07:47.318,T1,20260430_130623,447,1.0,0.0,5.469,-68.7,-99.1,-30.4,47.1,104,3732,4898,6560,30392,1668,True,1,4.469,0.6514225868388899,18.22062350119904,1662
2026-04-30T13:07:48.310,T1,20260430_130623,448,1.0,0.0,5.863,-68.6,-98.6,-30.0,35.57,108,4327,3842,6430,25040,1511,True,1,4.863,0.8424844236760125,16.57180675049636,2588
2026-04-30T13:07:51.310,T1,20260430_130623,451,1.0,0.0,5.441,-68.7,-99.1,-30.4,59.63,112,1537,6679,5484,28809,1624,True,1,4.441,0.2527337005672943,17.739532019704434,1195
2026-04-30T13:07:52.330,T1,20260430_130623,452,1.0,0.0,5.807,-68.0,-98.7,-30.8,58.82,84,3028,4941,6068,25467,1488,True,1,4.807,0.5500953765101281,17.114919354838708,1127
2026-04-30T13:07:53.348,T1,20260430_130623,453,1.0,0.0,5.408,-68.4,-99.1,-30.6,64.3,84,1790,5401,5384,23097,1440,True,1,4.408,0.3319425127491887,16.039583333333333,17
2026-04-30T13:07:54.308,T1,20260430_130623,454,1.0,0.0,6.313,-76.2,-101.2,-25.0,58.21,28,601,1630,974,1428,468,True,1,5.313,0.46159754224270355,3.051282051282051,656
2026-04-30T13:07:57.396,T1,20260430_130623,457,1.0,0.0,6.848,-72.2,-100.1,-27.8,60.16,44,643,2647,2037,4228,703,True,1,5.848,0.2745516652433817,6.014224751066856,610
2026-04-30T13:07:58.328,T1,20260430_130623,458,1.0,0.0,6.867,-76.5,-101.4,-24.9,53.82,28,501,1507,1050,1345,459,True,1,5.867,0.39186546734454436,2.9302832244008714,457
2026-04-30T13:07:59.319,T1,20260430_130623,459,1.0,0.0,5.394,-68.6,-99.2,-30.7,63.66,88,2198,5602,5614,26233,1542,True,1,4.394,0.39194008559201143,17.012321660181584,12
2026-04-30T13:08:00.309,T1,20260430_130623,460,1.0,0.0,5.441,-68.7,-100.2,-31.5,57.21,112,2826,6408,3690,30064,1656,True,1,4.441,0.5597147950089126,18.154589371980677,2718
2026-04-30T13:08:01.329,T1,20260430_130623,461,1.0,0.0,5.975,-68.2,-98.4,-30.2,37.9,92,5010,3487,6909,27654,1564,True,1,4.975,0.9638322431704501,17.68158567774936,3422
2026-04-30T13:08:04.328,T1,20260430_130623,464,1.0,0.0,5.929,-68.2,-98.4,-30.2,32.93,112,5725,3688,7706,34941,1759,True,1,4.929,1.004914867474109,19.864127345082434,4018
2026-04-30T13:08:05.318,T1,20260430_130623,465,1.0,0.0,6.82,-73.3,-100.5,-27.2,59.02,44,862,2597,1622,3815,692,True,1,5.82,0.4086276368807774,5.513005780346821,975
2026-04-30T13:08:06.337,T1,20260430_130623,466,1.0,0.0,5.558,-68.5,-98.9,-30.4,64.39,104,2277,6697,6628,33931,1749,True,1,4.558,0.3417636022514071,19.400228702115495,69
2026-04-30T13:08:07.329,T1,20260430_130623,467,1.0,0.0,5.305,-65.1,-94.4,-29.3,23.64,84,9828,1986,2924,17681,1122,True,1,4.305,4.003258655804481,15.758467023172905,938
2026-04-30T13:08:10.329,T1,20260430_130623,470,1.0,0.0,5.816,-70.3,-96.0,-25.7,107.35,80,7018,8588,6780,27440,1676,True,1,4.816,0.9133263925039042,16.372315035799524,1808
2026-04-30T13:08:11.319,T1,20260430_130623,471,1.0,0.0,5.521,-70.3,-98.3,-28.0,32.14,80,5591,2571,5555,18977,1393,True,1,4.521,1.3760767905488556,13.623115577889447,2984
2026-04-30T13:08:12.339,T1,20260430_130623,472,1.0,0.0,5.849,-72.2,-97.9,-25.7,51.64,92,4640,4751,6938,20403,1544,True,1,4.849,0.7939088031482591,13.214378238341968,2187
2026-04-30T13:08:14.347,T1,20260430_130623,474,1.0,0.0,8.011,-71.4,-94.8,-23.4,100.11,84,8012,8409,9119,25265,1671,True,1,7.010999999999999,0.9141944317663168,15.119688809096349,710
2026-04-30T13:08:15.339,T1,20260430_130623,475,1.0,0.0,5.445,-67.1,-96.4,-29.3,69.22,64,8302,4430,4259,23674,1392,True,1,4.445,1.9109218552192426,17.007183908045977,171
2026-04-30T13:08:16.327,T1,20260430_130623,476,1.0,0.0,5.966,-67.5,-96.3,-28.8,68.31,96,7652,6558,4273,25303,1460,True,1,4.966,1.4129812575016156,17.33082191780822,2285
2026-04-30T13:08:17.377,T1,20260430_130623,477,1.0,0.0,6.487,-68.1,-98.5,-30.4,65.95,100,1713,6595,5751,26932,1539,True,1,5.487,0.2774987850315892,17.4996751137102,844
2026-04-30T13:08:20.347,T1,20260430_130623,480,1.0,0.0,5.863,-70.5,-95.7,-25.3,91.79,108,8353,9913,6025,31169,1795,True,1,4.863,1.048186723553771,17.364345403899723,3888
2026-04-30T13:08:21.338,T1,20260430_130623,481,1.0,0.0,5.441,-67.9,-98.2,-30.3,64.77,88,4078,5700,4416,22111,1386,True,1,4.441,0.8062475286674575,15.953102453102453,1284
2026-04-30T13:08:22.329,T1,20260430_130623,482,1.0,0.0,5.431,-67.3,-99.1,-31.8,54.36,96,1100,5219,7409,33938,1678,True,1,4.431,0.17421602787456447,20.225268176400476,2190
2026-04-30T13:08:23.347,T1,20260430_130623,483,1.0,0.0,6.787,-72.1,-99.1,-27.1,33.62,40,2449,1345,2191,3739,657,True,1,5.787,1.385180995475113,5.691019786910198,846
2026-04-30T13:08:28.356,T1,20260430_130623,488,1.0,0.0,5.422,-68.3,-98.7,-30.4,57.41,124,3742,7119,4357,29421,1619,True,1,4.422,0.6521436040432206,18.172328597899938,2762
2026-04-30T13:08:29.348,T1,20260430_130623,489,1.0,0.0,6.13,-68.2,-98.2,-30.0,86.32,72,3427,6215,3770,20349,1341,True,1,5.13,0.6864296444667001,15.174496644295303,2445
2026-04-30T13:08:30.368,T1,20260430_130623,490,1.0,0.0,5.854,-67.4,-98.6,-31.2,86.76,76,3408,6594,4680,27935,1531,True,1,4.854,0.6045769026077701,18.246244284781188,1914
2026-04-30T13:08:31.357,T1,20260430_130623,491,1.0,0.0,6.36,-77.5,-101.1,-23.6,47.67,24,682,1144,1163,996,409,True,1,5.36,0.5912440398786303,2.43520782396088,19
